1,1,"After Ahab’s death, Moab rebelled against Israel."
1,2,"Now Ahaziah had fallen through the lattice of his upper room in Samaria and injured himself. So he sent messengers, saying to them, “Go and consult Baal-Zebub, the god of Ekron, to see if I will recover from this injury.”"
1,3,"But the angel of the Lord said to Elijah the Tishbite, “Go up and meet the messengers of the king of Samaria and ask them, ‘Is it because there is no God in Israel that you are going off to consult Baal-Zebub, the god of Ekron?’"
1,4,"Therefore this is what the Lord says: ‘You will not leave the bed you are lying on. You will certainly die!’” So Elijah went."
1,5,"When the messengers returned to the king, he asked them, “Why have you come back?”"
1,6,"“A man came to meet us,” they replied. “And he said to us, ‘Go back to the king who sent you and tell him, “This is what the Lord says: Is it because there is no God in Israel that you are sending messengers to consult Baal-Zebub, the god of Ekron? Therefore you will not leave the bed you are lying on. You will certainly die!”’”"
1,7,"The king asked them, “What kind of man was it who came to meet you and told you this?”"
1,8,"They replied, “He had a garment of hair and had a leather belt around his waist.” The king said, “That was Elijah the Tishbite.”"
1,9,"Then he sent to Elijah a captain with his company of fifty men. The captain went up to Elijah, who was sitting on the top of a hill, and said to him, “Man of God, the king says, ‘Come down!’”"
1,10,"Elijah answered the captain, “If I am a man of God, may fire come down from heaven and consume you and your fifty men!” Then fire fell from heaven and consumed the captain and his men."
1,11,"At this the king sent to Elijah another captain with his fifty men. The captain said to him, “Man of God, this is what the king says, ‘Come down at once!’”"
1,12,"“If I am a man of God,” Elijah replied, “may fire come down from heaven and consume you and your fifty men!” Then the fire of God fell from heaven and consumed him and his fifty men."
1,13,"So the king sent a third captain with his fifty men. This third captain went up and fell on his knees before Elijah. “Man of God,” he begged, “please have respect for my life and the lives of these fifty men, your servants!"
1,14,"See, fire has fallen from heaven and consumed the first two captains and all their men. But now have respect for my life!”"
1,15,"The angel of the Lord said to Elijah, “Go down with him; do not be afraid of him.” So Elijah got up and went down with him to the king."
1,16,"He told the king, “This is what the Lord says: Is it because there is no God in Israel for you to consult that you have sent messengers to consult Baal-Zebub, the god of Ekron? Because you have done this, you will never leave the bed you are lying on. You will certainly die!”"
1,17,"So he died, according to the word of the Lord that Elijah had spoken. Because Ahaziah had no son, Joram succeeded him as king in the second year of Jehoram son of Jehoshaphat king of Judah."
1,18,"As for all the other events of Ahaziah’s reign, and what he did, are they not written in the book of the annals of the kings of Israel?"
2,1,"When the Lord was about to take Elijah up to heaven in a whirlwind, Elijah and Elisha were on their way from Gilgal."
2,2,"Elijah said to Elisha, “Stay here; the Lord has sent me to Bethel.” But Elisha said, “As surely as the Lord lives and as you live, I will not leave you.” So they went down to Bethel."
2,3,"The company of the prophets at Bethel came out to Elisha and asked, “Do you know that the Lord is going to take your master from you today?” “Yes, I know,” Elisha replied, “so be quiet.”"
2,4,"Then Elijah said to him, “Stay here, Elisha; the Lord has sent me to Jericho.” And he replied, “As surely as the Lord lives and as you live, I will not leave you.” So they went to Jericho."
2,5,"The company of the prophets at Jericho went up to Elisha and asked him, “Do you know that the Lord is going to take your master from you today?” “Yes, I know,” he replied, “so be quiet.”"
2,6,"Then Elijah said to him, “Stay here; the Lord has sent me to the Jordan.” And he replied, “As surely as the Lord lives and as you live, I will not leave you.” So the two of them walked on."
2,7,"Fifty men from the company of the prophets went and stood at a distance, facing the place where Elijah and Elisha had stopped at the Jordan."
2,8,"Elijah took his cloak, rolled it up and struck the water with it. The water divided to the right and to the left, and the two of them crossed over on dry ground."
2,9,"When they had crossed, Elijah said to Elisha, “Tell me, what can I do for you before I am taken from you?” “Let me inherit a double portion of your spirit,” Elisha replied."
2,10,"“You have asked a difficult thing,” Elijah said, “yet if you see me when I am taken from you, it will be yours—otherwise, it will not.”"
2,11,"As they were walking along and talking together, suddenly a chariot of fire and horses of fire appeared and separated the two of them, and Elijah went up to heaven in a whirlwind."
2,12,"Elisha saw this and cried out, “My father! My father! The chariots and horsemen of Israel!” And Elisha saw him no more. Then he took hold of his garment and tore it in two."
2,13,"Elisha then picked up Elijah’s cloak that had fallen from him and went back and stood on the bank of the Jordan."
2,14,"He took the cloak that had fallen from Elijah and struck the water with it. “Where now is the Lord, the God of Elijah?” he asked. When he struck the water, it divided to the right and to the left, and he crossed over."
2,15,"The company of the prophets from Jericho, who were watching, said, “The spirit of Elijah is resting on Elisha.” And they went to meet him and bowed to the ground before him."
2,16,"“Look,” they said, “we your servants have fifty able men. Let them go and look for your master. Perhaps the Spirit of the Lord has picked him up and set him down on some mountain or in some valley.” “No,” Elisha replied, “do not send them.”"
2,17,"But they persisted until he was too embarrassed to refuse. So he said, “Send them.” And they sent fifty men, who searched for three days but did not find him."
2,18,"When they returned to Elisha, who was staying in Jericho, he said to them, “Didn’t I tell you not to go?”"
2,19,"The people of the city said to Elisha, “Look, our lord, this town is well situated, as you can see, but the water is bad and the land is unproductive.”"
